Date,Date (MM_YY),Agent,Gallons
1962-01-10,01_62,Purple,
1962-02-01,02_62,Purple,
1962-02-02,02_62,Purple,
1962-02-03,02_62,Blue,
1962-02-03,02_62,Purple,
1962-02-04,02_62,Purple,
1962-02-05,02_62,Purple,
1962-02-06,02_62,Purple,
1962-02-07,02_62,Purple,
1962-02-08,02_62,Purple,
1962-02-09,02_62,Purple,
1962-02-10,02_62,Purple,
1962-02-11,02_62,Purple,
1962-02-12,02_62,Purple,
1962-02-13,02_62,Purple,
1962-02-14,02_62,Purple,
1962-02-14,02_62,Purple,1040
1962-02-14,02_62,Purple,720
1962-02-15,02_62,Purple,
1962-02-15,02_62,Purple,1040
1962-02-16,02_62,Purple,2000
1962-02-17,02_62,Purple,1280
1962-03-01,03_62,Purple,
1962-03-05,03_62,Purple,
1962-09-03,09_62,Purple,1600
1962-09-04,09_62,Purple,1600
1962-09-05,09_62,Purple,1600
1962-09-06,09_62,Purple,1600
1962-09-07,09_62,Purple,797
1962-09-20,09_62,Purple,2000
1962-09-21,09_62,Purple,1409
1962-09-24,09_62,Purple,2000
1962-09-27,09_62,Purple,1894
1962-09-30,09_62,Purple,1500
1962-10-01,10_62,Purple,1500
1962-10-03,10_62,Purple,1546
1962-10-04,10_62,Purple,1409
1962-10-08,10_62,Purple,1800
1962-10-09,10_62,Purple,1800
1962-10-10,10_62,Purple,1800
1962-10-11,10_62,Purple,1800
1962-11-21,11_62,Blue,700
1962-11-22,11_62,Blue,975
1962-11-23,11_62,Blue,975
1962-12-14,12_62,Purple,100
1962-12-18,12_62,Purple,1950
1962-12-24,12_62,Purple,1750
1963-02-16,02_63,Purple,62
1963-02-18,02_63,Purple,62
1963-02-18,02_63,Purple,62
1963-02-18,02_63,Purple,62
1963-02-18,02_63,Purple,62
1963-02-19,02_63,Purple,62
1963-02-20,02_63,Purple,62
1963-02-24,02_63,Purple,62
1963-06-06,06_63,Purple,985
1963-06-07,06_63,Purple,2000
1963-06-08,06_63,Purple,815
1963-06-09,06_63,Purple,815
1963-07-03,07_63,Purple,675
1963-07-04,07_63,Purple,675
1963-07-05,07_63,Purple,255
1963-07-05,07_63,Purple,420
1963-07-05,07_63,Purple,420
1963-07-06,07_63,Purple,675
1963-07-07,07_63,Purple,675
1963-07-08,07_63,Purple,675
1963-07-09,07_63,Purple,675
1963-07-10,07_63,Purple,675
1963-07-11,07_63,Purple,675
1963-07-12,07_63,Purple,535
1963-07-12,07_63,Purple,140
1963-07-13,07_63,Purple,675
1963-07-13,07_63,Purple,225
1963-07-13,07_63,Purple,675
1963-07-13,07_63,Purple,675
1963-07-13,07_63,Purple,675
1963-07-13,07_63,Purple,675
1963-07-13,07_63,Purple,560
1963-07-15,07_63,Purple,675
1963-07-16,07_63,Purple,675
1963-07-17,07_63,Purple,675
1963-07-18,07_63,Purple,675
1963-07-19,07_63,Purple,675
1963-07-25,07_63,Purple,500
1963-07-25,07_63,Purple,175
1963-07-26,07_63,Purple,675
1963-07-27,07_63,Purple,365
1963-07-27,07_63,Purple,400
1963-07-28,07_63,Purple,725
1963-10-14,10_63,Purple,900
1963-10-15,10_63,Purple,900
1963-10-16,10_63,Purple,900
1963-10-17,10_63,Purple,900
1963-10-18,10_63,Purple,900
1963-10-19,10_63,Purple,900
1963-10-20,10_63,Purple,900
1963-10-21,10_63,Purple,900
1963-10-22,10_63,Purple,900
1963-10-23,10_63,Purple,900
1963-10-24,10_63,Purple,900
1963-10-25,10_63,Purple,900
1963-10-26,10_63,Purple,730
1963-10-26,10_63,Purple,940
1963-10-26,10_63,Purple,940
1963-10-26,10_63,Purple,900
1963-10-27,10_63,Purple,615
1963-10-27,10_63,Purple,900
1963-10-28,10_63,Purple,900
1963-10-29,10_63,Purple,535
1963-10-29,10_63,Purple,900
1963-10-30,10_63,Purple,900
1963-10-31,10_63,Purple,900
1963-10-31,10_63,Purple,970
1963-11-02,11_63,Purple,900
1963-11-03,11_63,Purple,900
1963-11-04,11_63,Purple,900
1963-11-13,11_63,Purple,1800
1963-11-14,11_63,Purple,260
1963-11-16,11_63,Purple,862
1963-11-18,11_63,Purple,1000
1963-11-19,11_63,Purple,
1963-11-19,11_63,Purple,1000
1963-11-19,11_63,Purple,1000
1963-11-20,11_63,Purple,2000
1963-11-21,11_63,Purple,1000
1963-11-21,11_63,Purple,1000
1963-11-22,11_63,Purple,740
1963-11-22,11_63,Purple,600
1963-11-22,11_63,Purple,2000
1963-11-23,11_63,Purple,1000
1963-11-23,11_63,Purple,1000
1963-11-24,11_63,Purple,588
1963-11-24,11_63,Purple,1000
1963-11-25,11_63,Purple,487
1963-11-26,11_63,Purple,740
1963-11-26,11_63,Purple,2000
1963-11-27,11_63,Purple,1000
1963-11-27,11_63,Purple,1000
1963-11-28,11_63,Purple,2000
1963-11-29,11_63,Purple,1000
1963-11-29,11_63,Purple,1000
1963-11-30,11_63,Purple,2000
1963-12-01,12_63,Purple,1000
1963-12-01,12_63,Purple,1000
1963-12-02,12_63,Purple,1000
1963-12-02,12_63,Purple,1000
1963-12-03,12_63,Purple,1000
1963-12-03,12_63,Purple,1000
1963-12-04,12_63,Purple,1000
1963-12-04,12_63,Purple,1000
1963-12-05,12_63,Purple,1000
1963-12-05,12_63,Purple,1000
1963-12-08,12_63,Purple,1950
1963-12-09,12_63,Purple,1950
1963-12-23,12_63,Purple,1670
1964-01-09,01_64,Purple,1675
1964-01-10,01_64,Purple,840
1964-01-11,01_64,Purple,840
1964-01-31,01_64,Purple,1670
1964-02-05,02_64,Purple,825
1964-02-10,02_64,Purple,815
1964-02-10,02_64,Purple,2000
1964-02-22,02_64,Purple,815
1964-02-22,02_64,Purple,2000
1964-03-02,03_64,Purple,1950
1964-03-25,03_64,Purple,1700
1964-03-26,03_64,Purple,1700
1964-03-27,03_64,Purple,1700
1964-03-28,03_64,Purple,1700
1964-03-29,03_64,Purple,660
1964-03-29,03_64,Purple,1700
1964-03-30,03_64,Purple,1700
1964-04-01,04_64,Purple,1700
1964-04-02,04_64,Purple,2500
1964-04-04,04_64,Purple,2500
1964-04-06,04_64,Purple,2500
1964-04-08,04_64,Purple,2500
